,,,,,,,,,
,,Email Notifications,,,,,,Do let us know in case any other email notification is required.,
,,,Newsletter,User would receive email if they subscribed to newsletter,,,2, ,
,,,,,,,,,
,,,Admin,Admin would recieve notification for stories submitted by the users.,,,2,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Project Deployment,,,,,,,
,,,,,,,,,
,,Deployment,,,One time deployment on LIVE server only,12,,,
,,,,,,,,,
,,,,,,345,176,,
,,,,,,,,,
,,Design,,,Bespoke front-end site design,104,,Logo design hours not included,
,,,,,,,,,
,,Analysis & Project Management,,,,52,,,
,,,,,,,,,
,,Quality Assurance,,,,78,,,
,,,,,,,,,
,,,,,,755,,,
,Efforts may vary if anything is added / updated from mentioned features list,,,,,,,,
,Page content may be added or deleted as per client request and hours may vary depending upon the changes,,,,,,,,
,Event page would be considered in next phase.,,,,,,,,
,The Third-party tools / plugins / APIs will be purchased and provided by client,,,,,,,,
,The efforts for deployment are considered for one time deployment on LIVE server only,,,,,,,,
,"Default email templates will be used, it will require additional effort to create custom email templates",,,,,,,,
